Skills,Interest_Areas,Languages,Tools_Techniques,Job_Role
"PHP, Laravel",Data Science,Go,"Pandas, NumPy",Backend Developer
"SQL, Database Management",Embedded Systems,Ruby,"Spring Boot, Hibernate",Backend Developer
"C++, Embedded Systems",Cloud Computing,C++,"Arduino, Raspberry Pi",DevOps Engineer
"Python, Data Analysis",Frontend Development,C++,"Docker, Kubernetes",Data Scientist
"SQL, Database Management",AI/ML,SQL,"Pandas, NumPy",Frontend Developer
"Ruby, Rails",AI/ML,Python,"AWS, Azure",ML Engineer
"Java, Spring Boot",Cloud Computing,Go,"Spring Boot, Hibernate",ML Engineer
"C++, Embedded Systems",Backend Development,Go,"Git, Jenkins",ML Engineer
"Ruby, Rails",DevOps,JavaScript,"Docker, Kubernetes",Full Stack Developer
"PHP, Laravel",AI/ML,Go,"Docker, Kubernetes",Data Scientist
"JavaScript, React",Backend Development,PHP,"TensorFlow, Scikit-learn",Frontend Developer
"Python, Data Analysis",AI/ML,SQL,"AWS, Azure",DevOps Engineer
"C++, Embedded Systems",Embedded Systems,SQL,"Docker, Kubernetes",ML Engineer
"Java, Spring Boot",Full Stack Development,SQL,"Docker, Kubernetes",ML Engineer
"C++, Embedded Systems",Full Stack Development,Go,"Docker, Kubernetes",Cloud Engineer
"SQL, Database Management",Data Science,Java,"Spring Boot, Hibernate",Embedded Developer
"C++, Embedded Systems",Data Science,Java,"Spring Boot, Hibernate",Full Stack Developer
"Java, Spring Boot",Full Stack Development,SQL,"React, Redux",Frontend Developer
"Go, Microservices",Cloud Computing,JavaScript,"Docker, Kubernetes",Frontend Developer
"Go, Microservices",Backend Development,Go,"Docker, Kubernetes",Full Stack Developer
"PHP, Laravel",Cloud Computing,PHP,"Pandas, NumPy",Backend Developer
"C++, Embedded Systems",Data Science,C++,"Pandas, NumPy",ML Engineer
"Python, Data Analysis",Full Stack Development,SQL,"Git, Jenkins",Full Stack Developer
"Python, Machine Learning",Embedded Systems,Go,"TensorFlow, Scikit-learn",Cloud Engineer
"Python, Data Analysis",Backend Development,PHP,"TensorFlow, Scikit-learn",Backend Developer
"C++, Embedded Systems",DevOps,C++,"Pandas, NumPy",Embedded Developer
"Java, Spring Boot",Frontend Development,PHP,"Git, Jenkins",DevOps Engineer
"Python, Data Analysis",Data Science,Ruby,"Arduino, Raspberry Pi",Backend Developer
"JavaScript, React",Full Stack Development,C++,"Pandas, NumPy",Frontend Developer
"Java, Spring Boot",AI/ML,JavaScript,"React, Redux",Data Scientist
"Python, Data Analysis",AI/ML,Java,"AWS, Azure",Frontend Developer
"SQL, Database Management",Embedded Systems,JavaScript,"Docker, Kubernetes",Embedded Developer
"Go, Microservices",DevOps,C++,"Git, Jenkins",Frontend Developer
"SQL, Database Management",Embedded Systems,Ruby,"AWS, Azure",Data Scientist
"Python, Data Analysis",AI/ML,JavaScript,"Pandas, NumPy",Embedded Developer
"PHP, Laravel",AI/ML,Ruby,"Pandas, NumPy",Data Scientist
"Java, Spring Boot",DevOps,Java,"Pandas, NumPy",Embedded Developer
"Ruby, Rails",Cloud Computing,C++,"AWS, Azure",Data Scientist
"Go, Microservices",Full Stack Development,Python,"Git, Jenkins",Data Scientist
"PHP, Laravel",Cloud Computing,Python,"Spring Boot, Hibernate",Data Scientist
"PHP, Laravel",Full Stack Development,SQL,"React, Redux",ML Engineer
"Python, Machine Learning",DevOps,C++,"Arduino, Raspberry Pi",Data Scientist
"Ruby, Rails",DevOps,SQL,"Git, Jenkins",Cloud Engineer
"Java, Spring Boot",Backend Development,SQL,"Docker, Kubernetes",Frontend Developer
"Ruby, Rails",Full Stack Development,Java,"Git, Jenkins",Backend Developer
"PHP, Laravel",Cloud Computing,PHP,"Docker, Kubernetes",ML Engineer
"Go, Microservices",Cloud Computing,JavaScript,"React, Redux",Data Scientist
"Ruby, Rails",AI/ML,C++,"Git, Jenkins",Full Stack Developer
"Go, Microservices",Frontend Development,Go,"Arduino, Raspberry Pi",Backend Developer
"PHP, Laravel",Full Stack Development,Go,"TensorFlow, Scikit-learn",ML Engineer
"Ruby, Rails",AI/ML,Python,"Pandas, NumPy",Cloud Engineer
"Go, Microservices",Embedded Systems,Go,"Pandas, NumPy",ML Engineer
"C++, Embedded Systems",DevOps,JavaScript,"Pandas, NumPy",Frontend Developer
"Java, Spring Boot",Data Science,JavaScript,"Arduino, Raspberry Pi",Embedded Developer
"Go, Microservices",Data Science,SQL,"AWS, Azure",DevOps Engineer
"SQL, Database Management",DevOps,Ruby,"Spring Boot, Hibernate",Cloud Engineer
"Java, Spring Boot",Embedded Systems,SQL,"AWS, Azure",Cloud Engineer
"Ruby, Rails",Backend Development,Go,"Spring Boot, Hibernate",Data Scientist
"Java, Spring Boot",Embedded Systems,Java,"Pandas, NumPy",Backend Developer
"SQL, Database Management",Backend Development,Go,"React, Redux",ML Engineer
"SQL, Database Management",Cloud Computing,Python,"Git, Jenkins",Backend Developer
"SQL, Database Management",Cloud Computing,C++,"Git, Jenkins",Data Scientist
"PHP, Laravel",AI/ML,JavaScript,"Docker, Kubernetes",Frontend Developer
"PHP, Laravel",Frontend Development,SQL,"TensorFlow, Scikit-learn",Data Scientist
"Python, Data Analysis",AI/ML,Java,"Git, Jenkins",ML Engineer
"SQL, Database Management",Cloud Computing,SQL,"Pandas, NumPy",Backend Developer
"SQL, Database Management",DevOps,Ruby,"Git, Jenkins",Backend Developer
"Python, Machine Learning",Frontend Development,JavaScript,"Spring Boot, Hibernate",Full Stack Developer
"SQL, Database Management",Frontend Development,PHP,"Docker, Kubernetes",Frontend Developer
"JavaScript, React",Backend Development,Go,"Spring Boot, Hibernate",Frontend Developer
"Go, Microservices",Embedded Systems,C++,"React, Redux",Frontend Developer
"Ruby, Rails",Embedded Systems,C++,"Arduino, Raspberry Pi",DevOps Engineer
"Python, Data Analysis",Embedded Systems,Java,"React, Redux",Cloud Engineer
"SQL, Database Management",Backend Development,PHP,"Spring Boot, Hibernate",Full Stack Developer
"JavaScript, React",Backend Development,SQL,"Arduino, Raspberry Pi",Embedded Developer
"Python, Data Analysis",Data Science,Java,"Spring Boot, Hibernate",Cloud Engineer
"Python, Machine Learning",DevOps,JavaScript,"Pandas, NumPy",ML Engineer
"SQL, Database Management",AI/ML,C++,"Spring Boot, Hibernate",Embedded Developer
"PHP, Laravel",AI/ML,Python,"Pandas, NumPy",DevOps Engineer
"Ruby, Rails",AI/ML,JavaScript,"Spring Boot, Hibernate",Full Stack Developer
"Python, Machine Learning",DevOps,SQL,"React, Redux",DevOps Engineer
"SQL, Database Management",Full Stack Development,JavaScript,"TensorFlow, Scikit-learn",DevOps Engineer
"Java, Spring Boot",Full Stack Development,Ruby,"AWS, Azure",ML Engineer
"Ruby, Rails",AI/ML,C++,"Pandas, NumPy",DevOps Engineer
"Ruby, Rails",Backend Development,JavaScript,"Spring Boot, Hibernate",Frontend Developer
"Python, Machine Learning",Cloud Computing,PHP,"React, Redux",Data Scientist
"Go, Microservices",Data Science,Java,"Arduino, Raspberry Pi",Full Stack Developer
"C++, Embedded Systems",Embedded Systems,Go,"Git, Jenkins",ML Engineer
"Java, Spring Boot",Cloud Computing,Python,"Spring Boot, Hibernate",Cloud Engineer
"Ruby, Rails",DevOps,Java,"Git, Jenkins",Cloud Engineer
"Go, Microservices",Cloud Computing,SQL,"Pandas, NumPy",DevOps Engineer
"Python, Data Analysis",Backend Development,Ruby,"Git, Jenkins",DevOps Engineer
"Go, Microservices",Data Science,C++,"Pandas, NumPy",Backend Developer
"JavaScript, React",Cloud Computing,JavaScript,"AWS, Azure",Frontend Developer
"Python, Machine Learning",Full Stack Development,C++,"Docker, Kubernetes",Data Scientist
"Go, Microservices",Frontend Development,PHP,"Arduino, Raspberry Pi",Data Scientist
"Java, Spring Boot",Embedded Systems,JavaScript,"AWS, Azure",Backend Developer
"Java, Spring Boot",DevOps,JavaScript,"Docker, Kubernetes",ML Engineer
"C++, Embedded Systems",Backend Development,Go,"Spring Boot, Hibernate",Data Scientist
"Python, Machine Learning",Embedded Systems,Python,"React, Redux",Data Scientist
"PHP, Laravel",AI/ML,Java,"Docker, Kubernetes",Full Stack Developer
"Python, Data Analysis",Embedded Systems,Python,"Arduino, Raspberry Pi",DevOps Engineer
"Ruby, Rails",AI/ML,C++,"AWS, Azure",Full Stack Developer
"Go, Microservices",Backend Development,Go,"Arduino, Raspberry Pi",Backend Developer
"C++, Embedded Systems",Frontend Development,JavaScript,"Docker, Kubernetes",Embedded Developer
"Java, Spring Boot",Frontend Development,Python,"Arduino, Raspberry Pi",DevOps Engineer
"Java, Spring Boot",Frontend Development,Python,"Docker, Kubernetes",Backend Developer
"C++, Embedded Systems",Embedded Systems,SQL,"Git, Jenkins",Data Scientist
"Python, Machine Learning",DevOps,Ruby,"Arduino, Raspberry Pi",DevOps Engineer
"Go, Microservices",Full Stack Development,C++,"Pandas, NumPy",Cloud Engineer
"Go, Microservices",Full Stack Development,SQL,"AWS, Azure",Data Scientist
"Java, Spring Boot",Frontend Development,Ruby,"Spring Boot, Hibernate",Backend Developer
"Java, Spring Boot",Data Science,JavaScript,"TensorFlow, Scikit-learn",ML Engineer
"C++, Embedded Systems",Embedded Systems,JavaScript,"TensorFlow, Scikit-learn",Data Scientist
"Ruby, Rails",Frontend Development,PHP,"React, Redux",Frontend Developer
"Ruby, Rails",Frontend Development,Go,"Git, Jenkins",DevOps Engineer
"Python, Machine Learning",Embedded Systems,SQL,"React, Redux",DevOps Engineer
"Java, Spring Boot",DevOps,Go,"Spring Boot, Hibernate",Embedded Developer
"PHP, Laravel",AI/ML,Ruby,"Docker, Kubernetes",Cloud Engineer
"Go, Microservices",DevOps,JavaScript,"AWS, Azure",ML Engineer
"JavaScript, React",DevOps,C++,"Docker, Kubernetes",Data Scientist
"C++, Embedded Systems",DevOps,PHP,"Docker, Kubernetes",DevOps Engineer
"JavaScript, React",Frontend Development,Java,"Docker, Kubernetes",Data Scientist
"Java, Spring Boot",Backend Development,PHP,"AWS, Azure",Cloud Engineer
"SQL, Database Management",DevOps,Go,"Arduino, Raspberry Pi",DevOps Engineer
"Go, Microservices",AI/ML,PHP,"Spring Boot, Hibernate",DevOps Engineer
"Ruby, Rails",Frontend Development,Go,"AWS, Azure",ML Engineer
"PHP, Laravel",Full Stack Development,Python,"AWS, Azure",Backend Developer
"Python, Machine Learning",Embedded Systems,Ruby,"Git, Jenkins",Cloud Engineer
"C++, Embedded Systems",DevOps,Python,"Arduino, Raspberry Pi",Full Stack Developer
"Java, Spring Boot",Data Science,PHP,"TensorFlow, Scikit-learn",Backend Developer
"C++, Embedded Systems",Backend Development,C++,"Git, Jenkins",Frontend Developer
"Java, Spring Boot",Embedded Systems,SQL,"TensorFlow, Scikit-learn",ML Engineer
"Python, Data Analysis",Embedded Systems,Java,"React, Redux",Data Scientist
"JavaScript, React",Embedded Systems,Go,"Git, Jenkins",Data Scientist
"PHP, Laravel",Frontend Development,SQL,"Docker, Kubernetes",Data Scientist
"Python, Machine Learning",Frontend Development,Java,"Arduino, Raspberry Pi",Backend Developer
"C++, Embedded Systems",Embedded Systems,Python,"TensorFlow, Scikit-learn",Cloud Engineer
"Ruby, Rails",Cloud Computing,C++,"Pandas, NumPy",Cloud Engineer
"Python, Data Analysis",Data Science,C++,"Arduino, Raspberry Pi",DevOps Engineer
"C++, Embedded Systems",Full Stack Development,PHP,"Spring Boot, Hibernate",DevOps Engineer
"Java, Spring Boot",DevOps,Java,"AWS, Azure",Cloud Engineer
"SQL, Database Management",DevOps,SQL,"AWS, Azure",Data Scientist
"Ruby, Rails",Backend Development,SQL,"TensorFlow, Scikit-learn",Data Scientist
"JavaScript, React",Data Science,JavaScript,"Spring Boot, Hibernate",Data Scientist
"JavaScript, React",Data Science,SQL,"Docker, Kubernetes",Full Stack Developer
"PHP, Laravel",DevOps,Python,"Docker, Kubernetes",ML Engineer
"Java, Spring Boot",Full Stack Development,SQL,"Pandas, NumPy",ML Engineer
"Python, Data Analysis",Embedded Systems,Java,"TensorFlow, Scikit-learn",Frontend Developer
"Go, Microservices",Full Stack Development,Go,"AWS, Azure",Full Stack Developer
"Python, Machine Learning",Full Stack Development,Ruby,"AWS, Azure",Data Scientist
"JavaScript, React",Data Science,SQL,"Git, Jenkins",Embedded Developer
"C++, Embedded Systems",Full Stack Development,C++,"Docker, Kubernetes",Frontend Developer
"Java, Spring Boot",AI/ML,Python,"TensorFlow, Scikit-learn",DevOps Engineer
"Ruby, Rails",Cloud Computing,JavaScript,"React, Redux",Embedded Developer
"SQL, Database Management",Cloud Computing,Ruby,"React, Redux",DevOps Engineer
"Python, Data Analysis",Frontend Development,JavaScript,"React, Redux",Full Stack Developer
"Java, Spring Boot",DevOps,C++,"Spring Boot, Hibernate",Backend Developer
"SQL, Database Management",Embedded Systems,Java,"React, Redux",Embedded Developer
"SQL, Database Management",Cloud Computing,Go,"Arduino, Raspberry Pi",Frontend Developer
"Java, Spring Boot",Backend Development,C++,"Pandas, NumPy",Data Scientist
"Python, Data Analysis",Frontend Development,Java,"Spring Boot, Hibernate",DevOps Engineer
"Ruby, Rails",Backend Development,Java,"Docker, Kubernetes",Data Scientist
"Java, Spring Boot",Cloud Computing,JavaScript,"TensorFlow, Scikit-learn",Cloud Engineer
"C++, Embedded Systems",Full Stack Development,SQL,"Docker, Kubernetes",ML Engineer
"SQL, Database Management",Full Stack Development,Python,"TensorFlow, Scikit-learn",Data Scientist
"Ruby, Rails",AI/ML,Ruby,"Pandas, NumPy",Full Stack Developer
"C++, Embedded Systems",Frontend Development,SQL,"Docker, Kubernetes",DevOps Engineer
"Java, Spring Boot",Backend Development,PHP,"Pandas, NumPy",ML Engineer
"Python, Machine Learning",Backend Development,C++,"Docker, Kubernetes",Embedded Developer
"Python, Machine Learning",AI/ML,Ruby,"AWS, Azure",Backend Developer
"Ruby, Rails",Backend Development,SQL,"Docker, Kubernetes",Cloud Engineer
"SQL, Database Management",Full Stack Development,Python,"Arduino, Raspberry Pi",Full Stack Developer
"SQL, Database Management",Data Science,JavaScript,"Docker, Kubernetes",DevOps Engineer
"JavaScript, React",Data Science,Java,"Arduino, Raspberry Pi",ML Engineer
"Python, Data Analysis",Embedded Systems,SQL,"TensorFlow, Scikit-learn",ML Engineer
"Python, Machine Learning",Cloud Computing,JavaScript,"AWS, Azure",ML Engineer
"SQL, Database Management",Backend Development,Python,"Pandas, NumPy",Data Scientist
"Ruby, Rails",Embedded Systems,Go,"TensorFlow, Scikit-learn",Backend Developer
"C++, Embedded Systems",Cloud Computing,Go,"React, Redux",Cloud Engineer
"Go, Microservices",Full Stack Development,PHP,"TensorFlow, Scikit-learn",ML Engineer
"Java, Spring Boot",Frontend Development,Ruby,"Spring Boot, Hibernate",Backend Developer
"Python, Data Analysis",Full Stack Development,Ruby,"React, Redux",DevOps Engineer
"Go, Microservices",Cloud Computing,C++,"Arduino, Raspberry Pi",Embedded Developer
"Go, Microservices",Cloud Computing,C++,"TensorFlow, Scikit-learn",Cloud Engineer
"SQL, Database Management",AI/ML,Ruby,"AWS, Azure",Embedded Developer
"PHP, Laravel",Data Science,C++,"Docker, Kubernetes",Frontend Developer
"C++, Embedded Systems",Full Stack Development,PHP,"Pandas, NumPy",Backend Developer
"PHP, Laravel",Frontend Development,Java,"Pandas, NumPy",Embedded Developer
"Go, Microservices",Backend Development,JavaScript,"Spring Boot, Hibernate",Cloud Engineer
"Ruby, Rails",Full Stack Development,PHP,"Git, Jenkins",Data Scientist
"Go, Microservices",AI/ML,C++,"Docker, Kubernetes",ML Engineer
"Go, Microservices",Cloud Computing,JavaScript,"Pandas, NumPy",Full Stack Developer
"C++, Embedded Systems",Data Science,Ruby,"Docker, Kubernetes",Cloud Engineer
"PHP, Laravel",Data Science,JavaScript,"Pandas, NumPy",DevOps Engineer
"JavaScript, React",AI/ML,JavaScript,"Docker, Kubernetes",Cloud Engineer
"C++, Embedded Systems",Frontend Development,Java,"Arduino, Raspberry Pi",ML Engineer
"JavaScript, React",Cloud Computing,Python,"Docker, Kubernetes",Data Scientist
"PHP, Laravel",Backend Development,Go,"Spring Boot, Hibernate",Data Scientist
"PHP, Laravel",Frontend Development,Python,"Git, Jenkins",Frontend Developer
"Python, Machine Learning",Full Stack Development,JavaScript,"Spring Boot, Hibernate",Cloud Engineer
"Python, Data Analysis",Full Stack Development,Go,"TensorFlow, Scikit-learn",Cloud Engineer
"Ruby, Rails",AI/ML,Python,"React, Redux",Frontend Developer
"Java, Spring Boot",Embedded Systems,Ruby,"Pandas, NumPy",Data Scientist
"Go, Microservices",Cloud Computing,Python,"TensorFlow, Scikit-learn",ML Engineer
"Python, Data Analysis",Full Stack Development,SQL,"Docker, Kubernetes",ML Engineer
"JavaScript, React",DevOps,SQL,"AWS, Azure",ML Engineer
"JavaScript, React",Embedded Systems,Ruby,"AWS, Azure",Cloud Engineer
"PHP, Laravel",Data Science,JavaScript,"TensorFlow, Scikit-learn",DevOps Engineer
"Ruby, Rails",Backend Development,Java,"TensorFlow, Scikit-learn",DevOps Engineer
"Go, Microservices",Cloud Computing,PHP,"React, Redux",Data Scientist
"Java, Spring Boot",Data Science,Java,"Docker, Kubernetes",DevOps Engineer
"PHP, Laravel",Data Science,JavaScript,"Pandas, NumPy",Data Scientist
"C++, Embedded Systems",Frontend Development,Python,"AWS, Azure",Embedded Developer
"Python, Data Analysis",AI/ML,Python,"Docker, Kubernetes",ML Engineer
"JavaScript, React",Frontend Development,SQL,"AWS, Azure",DevOps Engineer
"SQL, Database Management",Data Science,JavaScript,"Spring Boot, Hibernate",Frontend Developer
"Python, Machine Learning",Data Science,JavaScript,"Pandas, NumPy",Data Scientist
"Python, Data Analysis",Cloud Computing,Go,"Arduino, Raspberry Pi",Full Stack Developer
"Python, Data Analysis",Embedded Systems,SQL,"TensorFlow, Scikit-learn",Frontend Developer
"SQL, Database Management",AI/ML,JavaScript,"Arduino, Raspberry Pi",Backend Developer
"PHP, Laravel",DevOps,Python,"Arduino, Raspberry Pi",Frontend Developer
"PHP, Laravel",Cloud Computing,Python,"Spring Boot, Hibernate",ML Engineer
"Go, Microservices",DevOps,Ruby,"React, Redux",Frontend Developer
"PHP, Laravel",Cloud Computing,Java,"TensorFlow, Scikit-learn",Full Stack Developer
"Python, Data Analysis",Frontend Development,JavaScript,"Arduino, Raspberry Pi",Cloud Engineer
"SQL, Database Management",Data Science,Ruby,"React, Redux",Cloud Engineer
"Ruby, Rails",Cloud Computing,SQL,"Pandas, NumPy",Data Scientist
"Go, Microservices",AI/ML,PHP,"Git, Jenkins",DevOps Engineer
"SQL, Database Management",Full Stack Development,C++,"Docker, Kubernetes",DevOps Engineer
"Python, Machine Learning",Backend Development,Ruby,"TensorFlow, Scikit-learn",Data Scientist
"JavaScript, React",Cloud Computing,Java,"Git, Jenkins",Full Stack Developer
"Python, Machine Learning",AI/ML,Python,"Docker, Kubernetes",Embedded Developer
"Python, Data Analysis",AI/ML,C++,"TensorFlow, Scikit-learn",Backend Developer
"Java, Spring Boot",Data Science,SQL,"React, Redux",ML Engineer
"PHP, Laravel",DevOps,Go,"Arduino, Raspberry Pi",Backend Developer
"Python, Machine Learning",Backend Development,C++,"Arduino, Raspberry Pi",Full Stack Developer
"PHP, Laravel",Full Stack Development,SQL,"Docker, Kubernetes",Data Scientist
"SQL, Database Management",Full Stack Development,C++,"AWS, Azure",Backend Developer
"PHP, Laravel",Frontend Development,Python,"Pandas, NumPy",Cloud Engineer
"SQL, Database Management",Frontend Development,Python,"Git, Jenkins",Cloud Engineer
"Python, Data Analysis",DevOps,C++,"Docker, Kubernetes",DevOps Engineer
"PHP, Laravel",DevOps,Ruby,"Git, Jenkins",ML Engineer
"SQL, Database Management",Frontend Development,Ruby,"Docker, Kubernetes",DevOps Engineer
"Go, Microservices",Frontend Development,SQL,"React, Redux",Embedded Developer
"Go, Microservices",Data Science,C++,"Arduino, Raspberry Pi",Full Stack Developer
"C++, Embedded Systems",AI/ML,SQL,"React, Redux",Data Scientist
"C++, Embedded Systems",Backend Development,PHP,"Pandas, NumPy",ML Engineer
"Ruby, Rails",DevOps,Ruby,"Arduino, Raspberry Pi",Cloud Engineer
"JavaScript, React",AI/ML,Java,"Pandas, NumPy",ML Engineer
"SQL, Database Management",Frontend Development,C++,"Git, Jenkins",Data Scientist
"C++, Embedded Systems",Cloud Computing,Go,"Spring Boot, Hibernate",Backend Developer
